postal_code	city	street	house_number	x	y	country
1000	Caracas	Av. Principal de UD-4	8	-66.97886532318694	10.431812658796652	VE
1000	Caracas	Av. Principal de UD-4	9	-66.9780986	10.431711499999999	VE
1000	Caracas	Bulevar de Ruíz Pineda	11	-66.99346720069003	10.435651192231571	VE
1000	Caracas	Bulevar de Ruíz Pineda	12	-66.99288265728232	10.436122019760942	VE
1000	Caracas	Bulevar de Ruíz Pineda	4	-66.99732952260786	10.435056762317428	VE
1000	Caracas	Bulevar de Ruíz Pineda	5	-66.9957306358717	10.435250752324023	VE
1000	Caracas	Bulevar de Ruíz Pineda	6	-66.9949124995239	10.435150344732207	VE
1000	Caracas	Calle 2 de la UD-4	35	-66.9771672740855	10.427035508275333	VE
1000	Caracas	Calle 2 de la UD-4	36	-66.97667498616732	10.426873368870483	VE
1000	Caracas	Calle 2 de la UD-4	37	-66.97645153260721	10.427018765847036	VE
1000	Caracas	Calle 2 de la UD-4	38	-66.97681246328172	10.427433868609702	VE
1000	Caracas	Calle 2 de la UD-4	39	-66.97564566183806	10.428808202126723	VE
1000	Caracas	Calle 2 de la UD-4	40	-66.97551463706967	10.429056147501974	VE
1000	Caracas	Calle 2 de la UD-4	40	-66.97430455000001	10.429914000000002	VE
1000	Caracas	Calle 2 de la UD-4	41	-66.97404445	10.429749150000001	VE
1000	Caracas	Calle 2 de la UD-4	42	-66.97366355	10.429964150000002	VE
1000	Caracas	Calle 2 de la UD-4	43	-66.973884825123	10.430373009313794	VE
1000	Caracas	Calle 2 de la UD-4	45	-66.97417452511183	10.430586708547887	VE
1000	Caracas	Calle 2 de la UD-4	46	-66.97473681867913	10.428037907174135	VE
1000	Caracas	Calle 2 de la UD-4	47	-66.97504779454472	10.42841512462365	VE
1000	Caracas	Calle 2 de la UD-4	48	-66.9747205639814	10.429032402572284	VE
1000	Caracas	Calle 2 de la UD-4	49	-66.9744684502636	10.42892160004885	VE
1000	Caracas	Calle 2 de la UD-4	50	-66.97441397003112	10.428452016240392	VE
1000	Caracas	Calle 3 de UD 4	16	-66.9785871368179	10.43012535185516	VE
1000	Caracas	Calle 3 de UD 4	17	-66.97837621225449	10.430419953665394	VE
1000	Caracas	Calle 3 de UD 4	18	-66.97844241751515	10.430728821028408	VE
1000	Caracas	Calle 3 de UD 4	19	-66.9787964664654	10.43089929341367	VE
1000	Caracas	Calle 3 de UD 4	20	-66.97899598723488	10.430222338785454	VE
1000	Caracas	Calle 3 de UD 4	21	-66.97921063061625	10.430006041368134	VE
1000	Caracas	Calle 3 de UD 4	22	-66.97899755	10.428702800000002	VE
1000	Caracas	Calle 3 de UD 4	23	-66.97924685140843	10.428900412439248	VE
1000	Caracas	Calle 3 de UD 4	24	-66.97851402593275	10.429130801054017	VE
1000	Caracas	Calle 3 de UD 4	25	-66.97861172506259	10.428771491884099	VE
1000	Caracas	Calle 3 de UD 4	26	-66.97841564999999	10.42851755	VE
1000	Caracas	Calle 3 de UD 4	27	-66.97883460808355	10.428301175387348	VE
1000	Caracas	Calle 3 de UD 4	28	-66.97916649127895	10.428328224265803	VE
1000	Caracas	Calle 3 de UD 4	30	-66.9795226	10.427756449999999	VE
1000	Caracas	Calle 3 de UD 4	30	-66.9791980322824	10.427878477282764	VE
1000	Caracas	Calle 3 de UD 4	31	-66.97951249121522	10.42708972363684	VE
1000	Caracas	Calle 3 de UD 4	32	-66.97893781565574	10.427693782173675	VE
1000	Caracas	Calle 3 de UD 4	33	-66.9790284	10.42735285	VE
1000	Caracas	Calle 3 de UD 4	34	-66.97918448621225	10.426704073834648	VE
1000	Caracas	Pueblo Nuevo	32	-66.98128871485083	10.465154208947816	VE
1000	Caracas	Pueblo Nuevo	34	-66.9812263475023	10.465219483833605	VE
1000	Caracas	Real de Antímano	15	-66.98301165088533	10.461890401103943	VE
1000	Caracas	Real de Antímano	19	-66.9831236	10.4618826	VE
1000	Caracas	Sector Los Telares, Ruiz Pineda, Caricuao	Urbanismo Ecológico Brisas del Alba	-66.9990295084631	10.429955583419689	VE
1000	Caracas	Sector Los Telares, Ruiz Pineda, Caricuao	Urbanismo Ecológico Brisas del Alba	-66.99900227733677	10.430066834405071	VE
1010	Caracas	Av. Este 11	1103	-66.90734595	10.5125755	VE
1010	Caracas	Av. Este 5	91-97	-66.90303781650631	10.508464333069842	VE
1010	Caracas	Av. Este 5	99	-66.90284642287168	10.508382960196727	VE
1010	Caracas	Av. Este 7	37	-66.91008298494984	10.510670459957492	VE
1010	Caracas	Av. Norte	17	-66.91297698713208	10.517670220053793	VE
1010	Caracas	Av. Norte 3	43	-66.9109292	10.510116	VE
1010	Caracas	Av. Oeste 3	35	-66.9157879	10.5092826	VE
1010	Caracas	Av. Urdaneta	37	-66.9096311	10.5069408	VE
1010	Caracas	Av. Urdaneta	37	-66.9095544	10.5069129	VE
1010	Caracas	Avenida Oeste 9	3	-66.9166872	10.513645249999998	VE
1010	Caracas	Boulevard del Panteón	De	-66.91345185829111	10.510669467939106	VE
1010	Caracas	Calle La Ceiba	Local 72-10	-66.93038120000001	10.515092099999999	VE
1011	Caracas	Av. Este 0	176	-66.9054669	10.5047593	VE
1011	Caracas	Av. Este 2	150	-66.8997229523406	10.501827379586187	VE
1011	Caracas	Av. Este 2	155	-66.898866	10.5020483	VE
1011	Caracas	Av. Gamboa	11	-66.9009144	10.509357600000001	VE
1011	Caracas	Av. Licenciado Aranda	21	-66.9039372	10.5216225	VE
1011	Caracas	Av. Norte 11	89	-66.90604380078156	10.508851291746675	VE
1011	Caracas	Av. Norte 11	91	-66.90595199974021	10.509104252024077	VE
1011	Caracas	Av. Norte 9	70-72	-66.90633389999999	10.509465150000002	VE
1011	Caracas	Av. Panteón	04	-66.90315780000002	10.510526650000001	VE
1011	Caracas	Av. Urdaneta	12 piso	-66.9080767	10.5068123	VE
1011	Caracas	Avenida José Félix Ribas	Av José Felix Ribas	-66.9020849	10.5137996	VE
1011	Caracas	Avenida Norte 13	58-62	-66.90429789804902	10.50799643605277	VE
1011	Caracas	Avenida Sur 15	23-1	-66.90390584148169	10.503426197491121	VE
1011	Caracas	Real de Sarría	154	-66.89513	10.5099274	VE
1011	Caracas	Sorocaima	8	-66.89621712518763	10.51308266006709	VE
1012	Caracas	Av. Este 0	13	-66.91350153265904	10.506507485796169	VE
1012	Caracas	Av. Este 0	15	-66.91333266996278	10.506572646956526	VE
1012	Caracas	Av. Este 0	17	-66.91317586873394	10.506550394905615	VE
1012	Caracas	Av. Este 0	2	-66.9138113	10.5063982	VE
1012	Caracas	Av. Este 0	2	-66.9137476	10.5063781	VE
1012	Caracas	Av. Este 0	2	-66.9136842	10.5063712	VE
1012	Caracas	Av. Este 2	42	-66.91139074999998	10.504663550000002	VE
1012	Caracas	Av. Norte 0	2	-66.91377569984789	10.506483336201251	VE
1012	Caracas	Av. Norte 0	4	-66.91424158965134	10.506967598375573	VE
1012	Caracas	Av. Norte 0	4	-66.91374740475011	10.50667492711602	VE
1012	Caracas	Av. Norte 2	14	-66.9147011	10.5073741	VE
1012	Caracas	Av. Oeste 0	11	-66.91673217876301	10.506708290109312	VE
1012	Caracas	Av. Oeste 0	3	-66.91511777194452	10.506765411376824	VE
1012	Caracas	Av. Oeste 2	38	-66.9179116	10.5063199	VE
1012	Caracas	Av. Sur	31	-66.9145004	10.5037072	VE
1012	Caracas	Av. Universidad	49	-66.9100449	10.5033065	VE
1012	Caracas	Av. Urdaneta	16	-66.91455502264155	10.507539757880382	VE
1012	Caracas	Av. Urdaneta	27	-66.91408482045807	10.507482860263348	VE
1012	Caracas	Av. Urdaneta	27	-66.9140393	10.5075245	VE
1012	Caracas	Av. Urdaneta	30	-66.91062167199092	10.506815366562538	VE
1014	Caracas	Av. Este 10 bis	42	-66.9072922	10.498074	VE
1014	Caracas	Av. Lecuna	1101	-66.9138575	10.5005487	VE
1014	Caracas	Av. Oeste 12	56	-66.9197203	10.5001338	VE
1014	Caracas	Av. Oeste 12	60	-66.9198679	10.5001627	VE
1014	Caracas	Av. Sur	Esquinas de Castán a Palmita	-66.91553407256238	10.496926279513763	VE
1014	Caracas	Av. Sur 11	Esquina Junin	-66.9085682891016	10.495979829507291	VE
1014	Caracas	Av. Sur 9	93	-66.90948436631365	10.49878466422532	VE
1014	Caracas	Avenida Este 12	245	-66.9068723	10.4975117	VE
1015	Caracas	Av. Sur 21	0212-5711120	-66.9011783	10.4983794	VE
1020	Caracas	Av. 1 de Artigas	07	-66.94050865457584	10.492035846746418	VE
1020	Caracas	Av. 1 de Artigas	07	-66.9404353	10.4920544	VE
1020	Caracas	Av. Guzmán Blanco	1	-66.94394852959286	10.473161828131444	VE
1020	Caracas	Av. Guzmán Blanco	2	-66.94425412959286	10.472855228131444	VE
1020	Caracas	Av. Guzmán Blanco	3	-66.94468532295215	10.472697882910865	VE
1020	Caracas	Av. José Antonio Páez	01	-66.9454684652107	10.47546040950101	VE
1020	Caracas	Av. José Antonio Páez	32	-66.94461858662743	10.476776312530887	VE
1020	Caracas	Av. José Antonio Páez	32	-66.9445925	10.4767174	VE
1020	Caracas	Av. José Ángel Lamas	Oficina 11	-66.9394134	10.4968507	VE
1020	Caracas	Av. Juan Pablo II	1	-66.9672535531495	10.469064837002325	VE
1020	Caracas	Av. Juan Pablo II	2	-66.97068937458667	10.468702688735059	VE
1020	Caracas	Av. Juan Pablo II	5	-66.96774439071658	10.470315944694667	VE
1020	Caracas	Av. Juan Pablo II	8	-66.96636817244159	10.47091911329572	VE
1020	Caracas	Av. Las Fuentes	26	-66.94321570198964	10.484673217878044	VE
1020	Caracas	Av. San Martín	306	-66.9280377	10.4969833	VE
1020	Caracas	Av. San Martín	306	-66.92790363930392	10.496581675061147	VE
1020	Caracas	Av. Teherán	9	-66.96548301991358	10.469614260422219	VE
1020	Caracas	Av. Washington	33	-66.93940776611984	10.484578378045546	VE
1020	Caracas	Av. Washington	64	-66.9399786	10.4860667	VE
1020	Caracas	Avenida Berrezbeitia	12	-66.9345836678924	10.487637626396378	VE
1020	Caracas	Bernardo Slimak	2	-66.93511522206025	10.493125616804361	VE
1020	Caracas	Calle 10 de Montalbán	3	-66.96808955677498	10.469847911397196	VE
1020	Caracas	Calle 8 de Montalbán	6	-66.96580398503767	10.47061597885323	VE
1020	Caracas	Calle 9 de Montalbán	10	-66.96621717820774	10.469520448753098	VE
1020	Caracas	Calle 9 de Montalbán	4	-66.96721856109146	10.470030141281756	VE
1020	Caracas	Calle 9 de Montalbán	7	-66.96671633887128	10.470461998357697	VE
1020	Caracas	Comercio	Galpón 4	-66.95337987388358	10.482201407858975	VE
1020	Caracas	Los Magallanes	15	-66.94542645224551	10.515627696050254	VE
1020	Caracas	Terrazas de La Vega	09	-66.95214755000002	10.46003095	VE
1020	Caracas	Terrazas de La Vega	10	-66.95234925	10.460225200000002	VE
1020	Caracas	Terrazas de La Vega	11	-66.95252211709919	10.46041388884045	VE
